Designator,Mid X,Mid Y,Rotation,Layer
D1,111.70225,-85.43247,90.0,top
D10,130.75225,-123.53247,90.0,top
D11,149.80225,-123.53247,90.0,top
D12,168.85225,-123.53247,90.0,top
D2,130.75225,-85.43247,90.0,top
D3,149.80225,-85.43247,90.0,top
D4,168.85225,-85.43247,90.0,top
D5,111.70225,-104.48247,90.0,top
D6,130.75225,-104.48247,90.0,top
D7,149.80225,-104.48247,90.0,top
D8,168.85225,-104.48247,90.0,top
D9,111.70225,-123.53247,90.0,top
SW1,121.22725,-84.29497,0.0,top
SW10,140.27725,-122.39497,0.0,top
SW11,159.32725,-122.39497,0.0,top
SW12,178.3335,-126.09122,90.0,top
SW2,140.27725,-84.29497,0.0,top
SW3,159.32725,-84.29497,0.0,top
SW4,178.37725,-84.29497,0.0,top
SW5,121.22725,-103.34497,0.0,top
SW6,140.27725,-103.34497,0.0,top
SW7,159.32725,-103.34497,0.0,top
SW8,178.37725,-103.34497,0.0,top
SW9,121.1835,-126.09122,90.0,top
U1,149.321,-65.27122,0.0,top
